#              step            E_total                m_x                m_y                m_z             E_exch            E_demag 
#                                    J                                                                           J                  J 
               154 6.290610012446e-19 9.676593532502e-01 1.195179480489e-01 -2.619028620185e-08 9.005914713268e-20 5.390018541119e-19 
               155 6.290474236781e-19 9.676216473290e-01 1.198133208201e-01 8.012319369685e-08 9.006646963103e-20 5.389809540471e-19 
               156 6.290479339999e-19 9.676190315681e-01 1.198339313649e-01 5.505913410870e-08 9.006712103443e-20 5.389808129654e-19 
               157 6.290464290260e-19 9.676179252318e-01 1.198426516403e-01 4.742499754881e-08 9.006607978407e-20 5.389803492419e-19 
               158 6.290456142494e-19 9.676172405241e-01 1.198480489461e-01 4.334247557097e-08 9.006556289946e-20 5.389800513499e-19 
               159 6.290453454099e-19 9.676165068494e-01 1.198538317423e-01 3.938632833962e-08 9.006555785512e-20 5.389797875548e-19 
               160 6.290451698215e-19 9.676160064390e-01 1.198577762105e-01 3.695733860540e-08 9.006555394626e-20 5.389796158752e-19 
               161 6.290424327049e-19 9.676078443051e-01 1.199220900722e-01 3.777728428143e-13 9.006552920182e-20 5.389769035031e-19 
               162 6.290386334834e-19 9.675953091401e-01 1.200208906156e-01 5.199029092582e-09 9.006452956364e-20 5.389741039198e-19 
               163 6.339955735369e-19 9.675233472228e-01 1.205797906238e-01 -9.266984496549e-08 9.502415633309e-20 5.389714172038e-19 
               164 6.290876040360e-19 9.675237007842e-01 1.205834288782e-01 -7.506774654983e-08 9.016282962985e-20 5.389247744062e-19 
               165 6.290325366141e-19 9.675232860945e-01 1.205868648376e-01 -6.176699490984e-08 9.010502571694e-20 5.389275108971e-19 
               166 6.290194738493e-19 9.675226560179e-01 1.205919258431e-01 -4.661320856183e-08 9.008823434487e-20 5.389312395045e-19 
               167 6.290173691867e-19 9.675218032753e-01 1.205987204580e-01 -3.296846926998e-08 9.008308190485e-20 5.389342872818e-19 
               168 6.290167706420e-19 9.675206239733e-01 1.206080923137e-01 -2.200067644473e-08 9.008097691306e-20 5.389357937289e-19 
               169 6.290162280366e-19 9.675184306623e-01 1.206255011724e-01 -1.165468702633e-08 9.008074632727e-20 5.389354817093e-19 
               170 6.290160422610e-19 9.675178119446e-01 1.206304101742e-01 -1.050845071422e-08 9.008098165391e-20 5.389350606071e-19 
               171 6.290157557530e-19 9.675166201884e-01 1.206398654663e-01 -8.385700667324e-09 9.008145934873e-20 5.389342964043e-19 
               172 6.290156275683e-19 9.675161937557e-01 1.206432489078e-01 -7.730206101806e-09 9.008158686407e-20 5.389340407042e-19 
               173 6.290152629900e-19 9.675147378554e-01 1.206547997389e-01 -5.658743192490e-09 9.008209744912e-20 5.389331655409e-19 
               174 6.290146167478e-19 9.675121342106e-01 1.206754550604e-01 -2.911745915666e-09 9.008304526465e-20 5.389315714831e-19 
               175 6.293087368636e-19 9.673178072767e-01 1.222033118434e-01 1.011718862713e-07 9.049011239839e-20 5.388186244652e-19 
               176 6.289786891002e-19 9.673175734405e-01 1.222056157927e-01 9.290240585653e-08 9.016378140963e-20 5.388149076906e-19 
